Risk_Score,Risk_Category,Alert_Flag
33.0,Medium,NO
54.0,Medium,NO
40.0,Medium,NO
24.0,Low,NO
37.0,Medium,NO
23.0,Low,NO
56.99999999999999,Medium,NO
38.0,Medium,NO
26.0,Low,NO
17.0,Low,NO
57.99999999999999,Medium,NO
28.000000000000004,Low,NO
28.999999999999996,Low,NO
39.0,Medium,NO
34.0,Medium,NO
33.0,Medium,NO
22.0,Low,NO
48.0,Medium,NO
5.0,Low,NO
36.0,Medium,NO
20.0,Low,NO
16.0,Low,NO
6.0,Low,NO
40.0,Medium,NO
49.0,Medium,NO
55.00000000000001,Medium,NO
39.0,Medium,NO
40.0,Medium,NO
76.0,High,YES
12.0,Low,NO
7.000000000000001,Low,NO
27.0,Low,NO
19.0,Low,NO
32.0,Medium,NO
50.0,Medium,NO
32.0,Medium,NO
17.0,Low,NO
18.0,Low,NO
59.0,Medium,NO
31.0,Medium,NO
7.000000000000001,Low,NO
19.0,Low,NO
47.0,Medium,NO
47.0,Medium,NO
22.0,Low,NO
15.0,Low,NO
19.0,Low,NO
22.0,Low,NO
17.0,Low,NO
20.0,Low,NO
37.0,Medium,NO
41.0,Medium,NO
41.0,Medium,NO
15.0,Low,NO
46.0,Medium,NO
65.0,High,YES
26.0,Low,NO
48.0,Medium,NO
9.0,Low,NO
52.0,Medium,NO
60.0,High,NO
31.0,Medium,NO
8.0,Low,NO
66.0,High,YES
39.0,Medium,NO
33.0,Medium,NO
20.0,Low,NO
33.0,Medium,NO
46.0,Medium,NO
76.0,High,YES
17.0,Low,NO
26.0,Low,NO
40.0,Medium,NO
33.0,Medium,NO
6.0,Low,NO
37.0,Medium,NO
28.999999999999996,Low,NO
20.0,Low,NO
53.0,Medium,NO
23.0,Low,NO
10.0,Low,NO
38.0,Medium,NO
38.0,Medium,NO
28.000000000000004,Low,NO
22.0,Low,NO
22.0,Low,NO
27.0,Low,NO
47.0,Medium,NO
34.0,Medium,NO
67.0,High,YES
35.0,Medium,NO
28.999999999999996,Low,NO
25.0,Low,NO
28.999999999999996,Low,NO
62.0,High,YES
43.0,Medium,NO
12.0,Low,NO
23.0,Low,NO
31.0,Medium,NO
12.0,Low,NO
23.0,Low,NO
14.000000000000002,Low,NO
27.0,Low,NO
21.0,Low,NO
7.000000000000001,Low,NO
47.0,Medium,NO
56.00000000000001,Medium,NO
65.0,High,YES
74.0,High,YES
26.0,Low,NO
21.0,Low,NO
60.0,High,NO
40.0,Medium,NO
25.0,Low,NO
30.0,Medium,NO
38.0,Medium,NO
55.00000000000001,Medium,NO
24.0,Low,NO
56.99999999999999,Medium,NO
41.0,Medium,NO
45.0,Medium,NO
20.0,Low,NO
27.0,Low,NO
27.0,Low,NO
20.0,Low,NO
20.0,Low,NO
8.0,Low,NO
36.0,Medium,NO
7.000000000000001,Low,NO
40.0,Medium,NO
14.000000000000002,Low,NO
48.0,Medium,NO
34.0,Medium,NO
10.0,Low,NO
60.0,High,NO
28.000000000000004,Low,NO
50.0,Medium,NO
55.00000000000001,Medium,NO
22.0,Low,NO
32.0,Medium,NO
8.0,Low,NO
46.0,Medium,NO
20.0,Low,NO
46.0,Medium,NO
33.0,Medium,NO
46.0,Medium,NO
23.0,Low,NO
23.0,Low,NO
9.0,Low,NO
35.0,Medium,NO
44.0,Medium,NO
18.0,Low,NO
56.99999999999999,Medium,NO
14.000000000000002,Low,NO
41.0,Medium,NO
19.0,Low,NO
12.0,Low,NO
28.000000000000004,Low,NO
53.0,Medium,NO
19.0,Low,NO
37.0,Medium,NO
46.0,Medium,NO
36.0,Medium,NO
13.0,Low,NO
31.0,Medium,NO
21.0,Low,NO
15.0,Low,NO
53.0,Medium,NO
32.0,Medium,NO
41.0,Medium,NO
49.0,Medium,NO
37.0,Medium,NO
19.0,Low,NO
28.999999999999996,Low,NO
28.999999999999996,Low,NO
14.000000000000002,Low,NO
21.0,Low,NO
19.0,Low,NO
47.0,Medium,NO
21.0,Low,NO
44.0,Medium,NO
22.0,Low,NO
39.0,Medium,NO
19.0,Low,NO
59.0,Medium,NO
28.999999999999996,Low,NO
8.0,Low,NO
28.000000000000004,Low,NO
39.0,Medium,NO
24.0,Low,NO
72.0,High,YES
42.0,Medium,NO
32.0,Medium,NO
48.0,Medium,NO
42.0,Medium,NO
22.0,Low,NO
32.0,Medium,NO
14.000000000000002,Low,NO
23.0,Low,NO
37.0,Medium,NO
20.0,Low,NO
14.000000000000002,Low,NO
43.0,Medium,NO
22.0,Low,NO
28.999999999999996,Low,NO
32.0,Medium,NO
11.0,Low,NO
32.0,Medium,NO
38.0,Medium,NO
22.0,Low,NO
19.0,Low,NO
24.0,Low,NO
10.0,Low,NO
44.0,Medium,NO
53.0,Medium,NO
22.0,Low,NO
20.0,Low,NO
3.0,Low,NO
19.0,Low,NO
36.0,Medium,NO
18.0,Low,NO
28.000000000000004,Low,NO
37.0,Medium,NO
34.0,Medium,NO
60.0,High,NO
38.0,Medium,NO
34.0,Medium,NO
22.0,Low,NO
22.0,Low,NO
54.0,Medium,NO
18.0,Low,NO
40.0,Medium,NO
62.0,High,YES
64.0,High,YES
39.0,Medium,NO
25.0,Low,NO
68.0,High,YES
50.0,Medium,NO
69.0,High,YES
22.0,Low,NO
51.0,Medium,NO
22.0,Low,NO
68.0,High,YES
26.0,Low,NO
24.0,Low,NO
45.0,Medium,NO
22.0,Low,NO
35.0,Medium,NO
31.0,Medium,NO
44.0,Medium,NO
26.0,Low,NO
16.0,Low,NO
9.0,Low,NO
24.0,Low,NO
16.0,Low,NO
11.0,Low,NO
5.0,Low,NO
28.000000000000004,Low,NO
20.0,Low,NO
8.0,Low,NO
28.000000000000004,Low,NO
9.0,Low,NO
61.0,High,YES
59.0,Medium,NO
56.99999999999999,Medium,NO
56.99999999999999,Medium,NO
31.0,Medium,NO
33.0,Medium,NO
49.0,Medium,NO
55.00000000000001,Medium,NO
23.0,Low,NO
28.999999999999996,Low,NO
24.0,Low,NO
30.0,Medium,NO
16.0,Low,NO
34.0,Medium,NO
32.0,Medium,NO
16.0,Low,NO
28.999999999999996,Low,NO
50.0,Medium,NO
26.0,Low,NO
31.0,Medium,NO
59.0,Medium,NO
28.000000000000004,Low,NO
21.0,Low,NO
43.0,Medium,NO
30.0,Medium,NO
22.0,Low,NO
5.0,Low,NO
20.0,Low,NO
56.00000000000001,Medium,NO
2.0,Low,NO
20.0,Low,NO
32.0,Medium,NO
31.0,Medium,NO
42.0,Medium,NO
48.0,Medium,NO
20.0,Low,NO
48.0,Medium,NO
16.0,Low,NO
28.999999999999996,Low,NO
25.0,Low,NO
8.0,Low,NO
17.0,Low,NO
36.0,Medium,NO
37.0,Medium,NO
49.0,Medium,NO
23.0,Low,NO
37.0,Medium,NO
43.0,Medium,NO
14.000000000000002,Low,NO
7.000000000000001,Low,NO
56.99999999999999,Medium,NO
25.0,Low,NO
12.0,Low,NO
14.000000000000002,Low,NO
1.0,Low,NO
49.0,Medium,NO
18.0,Low,NO
34.0,Medium,NO
72.0,High,YES
18.0,Low,NO
46.0,Medium,NO
31.0,Medium,NO
9.0,Low,NO
49.0,Medium,NO
52.0,Medium,NO
25.0,Low,NO
21.0,Low,NO
41.0,Medium,NO
43.0,Medium,NO
14.000000000000002,Low,NO
9.0,Low,NO
20.0,Low,NO
27.0,Low,NO
28.999999999999996,Low,NO
39.0,Medium,NO
40.0,Medium,NO
46.0,Medium,NO
21.0,Low,NO
23.0,Low,NO
30.0,Medium,NO
52.0,Medium,NO
22.0,Low,NO
11.0,Low,NO
27.0,Low,NO
30.0,Medium,NO
20.0,Low,NO
32.0,Medium,NO
62.0,High,YES
43.0,Medium,NO
52.0,Medium,NO
30.0,Medium,NO
38.0,Medium,NO
21.0,Low,NO
8.0,Low,NO
15.0,Low,NO
65.0,High,YES
40.0,Medium,NO
31.0,Medium,NO
56.99999999999999,Medium,NO
32.56666666666666,Medium,NO
53.0,Medium,NO
23.0,Low,NO
36.0,Medium,NO
78.0,High,YES
10.0,Low,NO
42.0,Medium,NO
37.0,Medium,NO
19.0,Low,NO
48.0,Medium,NO
79.0,High,YES
15.0,Low,NO
67.0,High,YES
71.0,High,YES
9.0,Low,NO
33.0,Medium,NO
19.0,Low,NO
31.0,Medium,NO
66.0,High,YES
24.0,Low,NO
24.0,Low,NO
17.0,Low,NO
17.0,Low,NO
31.0,Medium,NO
12.0,Low,NO
53.0,Medium,NO
40.0,Medium,NO
33.0,Medium,NO
17.0,Low,NO
24.0,Low,NO
21.0,Low,NO
19.75,Low,NO
3.0,Low,NO
56.99999999999999,Medium,NO
51.0,Medium,NO
28.999999999999996,Low,NO
28.999999999999996,Low,NO
12.0,Low,NO
8.0,Low,NO
47.0,Medium,NO
28.000000000000004,Low,NO
23.0,Low,NO
23.0,Low,NO
6.0,Low,NO
25.0,Low,NO
35.0,Medium,NO
56.99999999999999,Medium,NO
35.0,Medium,NO
64.0,High,YES
21.0,Low,NO
26.0,Low,NO
66.0,High,YES
10.0,Low,NO
39.0,Medium,NO
37.0,Medium,NO
42.0,Medium,NO
23.0,Low,NO
44.0,Medium,NO
14.000000000000002,Low,NO
59.0,Medium,NO
35.0,Medium,NO
18.0,Low,NO
32.0,Medium,NO
18.0,Low,NO
9.0,Low,NO
11.0,Low,NO
25.0,Low,NO
28.999999999999996,Low,NO
56.99999999999999,Medium,NO
48.0,Medium,NO
37.0,Medium,NO
19.0,Low,NO
5.0,Low,NO
36.0,Medium,NO
41.0,Medium,NO
32.0,Medium,NO
44.0,Medium,NO
3.0,Low,NO
51.0,Medium,NO
38.0,Medium,NO
54.0,Medium,NO
20.0,Low,NO
18.0,Low,NO
14.000000000000002,Low,NO
59.0,Medium,NO
16.0,Low,NO
4.0,Low,NO
67.0,High,YES
9.0,Low,NO
37.0,Medium,NO
56.99999999999999,Medium,NO
10.0,Low,NO
25.0,Low,NO
14.000000000000002,Low,NO
26.0,Low,NO
50.0,Medium,NO
75.0,High,YES
52.0,Medium,NO
24.0,Low,NO
33.0,Medium,NO
21.0,Low,NO
50.0,Medium,NO
12.0,Low,NO
42.0,Medium,NO
21.0,Low,NO
30.0,Medium,NO
41.0,Medium,NO
20.0,Low,NO
14.000000000000002,Low,NO
35.0,Medium,NO
19.0,Low,NO
18.0,Low,NO
19.0,Low,NO
52.0,Medium,NO
42.0,Medium,NO
47.0,Medium,NO
33.0,Medium,NO
61.0,High,YES
4.0,Low,NO
33.0,Medium,NO
67.0,High,YES
25.0,Low,NO
17.0,Low,NO
56.99999999999999,Medium,NO
23.0,Low,NO
34.0,Medium,NO
57.99999999999999,Medium,NO
19.0,Low,NO
23.0,Low,NO
36.0,Medium,NO
57.99999999999999,Medium,NO
51.0,Medium,NO
46.0,Medium,NO
35.0,Medium,NO
82.0,High,YES
6.0,Low,NO
11.0,Low,NO
68.0,High,YES
71.0,High,YES
17.0,Low,NO
49.0,Medium,NO
50.0,Medium,NO
27.0,Low,NO
54.0,Medium,NO
16.0,Low,NO
68.0,High,YES
33.0,Medium,NO
15.0,Low,NO
2.0,Low,NO
31.0,Medium,NO
36.0,Medium,NO
25.0,Low,NO
31.0,Medium,NO
40.0,Medium,NO
30.0,Medium,NO
42.0,Medium,NO
33.0,Medium,NO
28.000000000000004,Low,NO
25.0,Low,NO
32.0,Medium,NO
31.0,Medium,NO
50.0,Medium,NO
34.0,Medium,NO
15.0,Low,NO
33.0,Medium,NO
10.0,Low,NO
51.0,Medium,NO
28.000000000000004,Low,NO
31.0,Medium,NO
50.0,Medium,NO
35.0,Medium,NO
25.0,Low,NO
32.0,Medium,NO
33.0,Medium,NO
38.0,Medium,NO
13.0,Low,NO
17.0,Low,NO
50.0,Medium,NO
44.0,Medium,NO
28.000000000000004,Low,NO
38.0,Medium,NO
38.0,Medium,NO
30.0,Medium,NO
43.0,Medium,NO
23.0,Low,NO
39.0,Medium,NO
28.999999999999996,Low,NO
28.000000000000004,Low,NO
5.0,Low,NO
21.0,Low,NO
11.0,Low,NO
16.0,Low,NO
8.0,Low,NO
76.0,High,YES
52.0,Medium,NO
38.0,Medium,NO
30.0,Medium,NO
20.0,Low,NO
56.99999999999999,Medium,NO
27.0,Low,NO
12.0,Low,NO
53.0,Medium,NO
24.0,Low,NO
51.0,Medium,NO
16.0,Low,NO
40.0,Medium,NO
23.0,Low,NO
18.0,Low,NO
24.0,Low,NO
24.0,Low,NO
40.0,Medium,NO
30.0,Medium,NO
10.0,Low,NO
16.0,Low,NO
21.0,Low,NO
42.0,Medium,NO
11.0,Low,NO
49.0,Medium,NO
28.000000000000004,Low,NO
11.0,Low,NO
47.0,Medium,NO
28.999999999999996,Low,NO
42.0,Medium,NO
27.0,Low,NO
64.0,High,YES
16.0,Low,NO
28.000000000000004,Low,NO
46.0,Medium,NO
54.0,Medium,NO
44.0,Medium,NO
23.0,Low,NO
5.0,Low,NO
24.0,Low,NO
22.0,Low,NO
61.0,High,YES
28.999999999999996,Low,NO
28.999999999999996,Low,NO
36.0,Medium,NO
47.0,Medium,NO
11.0,Low,NO
27.0,Low,NO
23.0,Low,NO
32.0,Medium,NO
51.0,Medium,NO
38.0,Medium,NO
36.0,Medium,NO
28.000000000000004,Low,NO
37.0,Medium,NO
26.0,Low,NO
9.0,Low,NO
13.0,Low,NO
19.0,Low,NO
30.0,Medium,NO
55.00000000000001,Medium,NO
12.0,Low,NO
22.0,Low,NO
49.0,Medium,NO
57.99999999999999,Medium,NO
30.0,Medium,NO
41.0,Medium,NO
41.0,Medium,NO
46.0,Medium,NO
51.0,Medium,NO
15.0,Low,NO
57.99999999999999,Medium,NO
26.0,Low,NO
36.0,Medium,NO
16.0,Low,NO
44.0,Medium,NO
52.0,Medium,NO
28.999999999999996,Low,NO
41.0,Medium,NO
16.0,Low,NO
40.0,Medium,NO
26.0,Low,NO
21.0,Low,NO
28.999999999999996,Low,NO
13.0,Low,NO
48.0,Medium,NO
44.0,Medium,NO
55.00000000000001,Medium,NO
23.0,Low,NO
28.000000000000004,Low,NO
24.0,Low,NO
15.0,Low,NO
20.0,Low,NO
30.0,Medium,NO
40.0,Medium,NO
28.999999999999996,Low,NO
76.0,High,YES
40.0,Medium,NO
14.000000000000002,Low,NO
19.0,Low,NO
46.0,Medium,NO
34.0,Medium,NO
32.0,Medium,NO
15.0,Low,NO
20.0,Low,NO
31.0,Medium,NO
37.0,Medium,NO
26.0,Low,NO
17.0,Low,NO
45.0,Medium,NO
31.0,Medium,NO
20.0,Low,NO
64.0,High,YES
4.0,Low,NO
53.0,Medium,NO
30.0,Medium,NO
55.00000000000001,Medium,NO
4.0,Low,NO
51.0,Medium,NO
74.0,High,YES
30.0,Medium,NO
20.0,Low,NO
19.0,Low,NO
44.0,Medium,NO
56.00000000000001,Medium,NO
41.0,Medium,NO
53.0,Medium,NO
75.0,High,YES
45.0,Medium,NO
61.0,High,YES
25.0,Low,NO
42.0,Medium,NO
25.0,Low,NO
30.0,Medium,NO
30.0,Medium,NO
11.0,Low,NO
59.0,Medium,NO
52.0,Medium,NO
27.0,Low,NO
47.0,Medium,NO
12.0,Low,NO
28.000000000000004,Low,NO
12.0,Low,NO
35.0,Medium,NO
27.0,Low,NO
43.0,Medium,NO
14.000000000000002,Low,NO
17.0,Low,NO
10.0,Low,NO
36.0,Medium,NO
48.0,Medium,NO
5.0,Low,NO
68.0,High,YES
26.0,Low,NO
35.0,Medium,NO
47.0,Medium,NO
8.0,Low,NO
47.0,Medium,NO
24.0,Low,NO
53.0,Medium,NO
56.00000000000001,Medium,NO
27.0,Low,NO
16.0,Low,NO
39.0,Medium,NO
20.0,Low,NO
22.0,Low,NO
40.0,Medium,NO
27.0,Low,NO
30.0,Medium,NO
26.0,Low,NO
35.0,Medium,NO
36.0,Medium,NO
42.0,Medium,NO
52.0,Medium,NO
20.0,Low,NO
2.0,Low,NO
37.0,Medium,NO
43.0,Medium,NO
44.0,Medium,NO
67.0,High,YES
20.0,Low,NO
11.0,Low,NO
51.0,Medium,NO
27.0,Low,NO
57.99999999999999,Medium,NO
4.0,Low,NO
39.0,Medium,NO
55.00000000000001,Medium,NO
36.0,Medium,NO
15.0,Low,NO
45.0,Medium,NO
24.0,Low,NO
15.0,Low,NO
41.0,Medium,NO
17.0,Low,NO
34.0,Medium,NO
17.0,Low,NO
41.0,Medium,NO
33.0,Medium,NO
28.000000000000004,Low,NO
15.0,Low,NO
44.0,Medium,NO
13.0,Low,NO
37.0,Medium,NO
26.0,Low,NO
13.0,Low,NO
56.00000000000001,Medium,NO
28.000000000000004,Low,NO
21.0,Low,NO
42.0,Medium,NO
22.0,Low,NO
13.0,Low,NO
17.0,Low,NO
37.0,Medium,NO
42.0,Medium,NO
28.999999999999996,Low,NO
47.0,Medium,NO
12.0,Low,NO
20.0,Low,NO
28.999999999999996,Low,NO
45.0,Medium,NO
42.0,Medium,NO
83.0,High,YES
35.0,Medium,NO
57.99999999999999,Medium,NO
51.0,Medium,NO
66.0,High,YES
53.0,Medium,NO
7.000000000000001,Low,NO
40.0,Medium,NO
24.0,Low,NO
12.0,Low,NO
65.0,High,YES
56.00000000000001,Medium,NO
18.0,Low,NO
22.0,Low,NO
5.0,Low,NO
13.0,Low,NO
49.0,Medium,NO
59.0,Medium,NO
56.00000000000001,Medium,NO
42.0,Medium,NO
49.0,Medium,NO
45.0,Medium,NO
13.0,Low,NO
28.999999999999996,Low,NO
38.0,Medium,NO
15.0,Low,NO
51.0,Medium,NO
57.99999999999999,Medium,NO
53.0,Medium,NO
25.0,Low,NO
28.000000000000004,Low,NO
46.0,Medium,NO
39.0,Medium,NO
6.0,Low,NO
28.000000000000004,Low,NO
10.0,Low,NO
54.0,Medium,NO
54.0,Medium,NO
60.0,High,NO
40.0,Medium,NO
27.0,Low,NO
17.0,Low,NO
59.0,Medium,NO
63.0,High,YES
24.0,Low,NO
32.0,Medium,NO
49.0,Medium,NO
47.0,Medium,NO
32.0,Medium,NO
31.0,Medium,NO
27.0,Low,NO
68.0,High,YES
27.0,Low,NO
39.0,Medium,NO
28.999999999999996,Low,NO
26.0,Low,NO
27.0,Low,NO
33.0,Medium,NO
21.0,Low,NO
24.0,Low,NO
19.0,Low,NO
43.0,Medium,NO
47.0,Medium,NO
52.0,Medium,NO
43.0,Medium,NO
65.0,High,YES
40.0,Medium,NO
14.000000000000002,Low,NO
31.0,Medium,NO
21.0,Low,NO
39.0,Medium,NO
26.0,Low,NO
57.99999999999999,Medium,NO
27.0,Low,NO
15.0,Low,NO
49.0,Medium,NO
18.0,Low,NO
64.0,High,YES
28.999999999999996,Low,NO
60.0,High,NO
36.0,Medium,NO
21.0,Low,NO
34.0,Medium,NO
18.0,Low,NO
15.0,Low,NO
52.0,Medium,NO
50.0,Medium,NO
60.0,High,NO
46.0,Medium,NO
3.0,Low,NO
32.0,Medium,NO
28.999999999999996,Low,NO
27.0,Low,NO
9.0,Low,NO
34.0,Medium,NO
6.0,Low,NO
24.0,Low,NO
36.66666666666667,Medium,NO
30.0,Medium,NO
22.0,Low,NO
11.0,Low,NO
8.0,Low,NO
68.0,High,YES
68.0,High,YES
40.0,Medium,NO
37.0,Medium,NO
54.0,Medium,NO
14.000000000000002,Low,NO
10.0,Low,NO
24.0,Low,NO
44.0,Medium,NO
36.0,Medium,NO
19.0,Low,NO
35.0,Medium,NO
8.0,Low,NO
48.0,Medium,NO
66.0,High,YES
24.0,Low,NO
73.0,High,YES
14.000000000000002,Low,NO
38.0,Medium,NO
28.999999999999996,Low,NO
8.0,Low,NO
6.0,Low,NO
17.0,Low,NO
30.0,Medium,NO
4.0,Low,NO
41.0,Medium,NO
22.0,Low,NO
22.0,Low,NO
27.0,Low,NO
8.0,Low,NO
28.000000000000004,Low,NO
23.0,Low,NO
15.0,Low,NO
23.0,Low,NO
56.00000000000001,Medium,NO
56.00000000000001,Medium,NO
68.0,High,YES
46.0,Medium,NO
20.0,Low,NO
18.0,Low,NO
24.0,Low,NO
39.0,Medium,NO
42.0,Medium,NO
28.999999999999996,Low,NO
60.0,High,NO
33.0,Medium,NO
18.0,Low,NO
47.0,Medium,NO
25.0,Low,NO
24.0,Low,NO
26.0,Low,NO
23.0,Low,NO
42.0,Medium,NO
48.0,Medium,NO
28.000000000000004,Low,NO
28.000000000000004,Low,NO
11.0,Low,NO
84.0,High,YES
24.0,Low,NO
47.0,Medium,NO
27.0,Low,NO
15.0,Low,NO
18.0,Low,NO
30.0,Medium,NO
15.0,Low,NO
12.0,Low,NO
25.0,Low,NO
11.0,Low,NO
26.0,Low,NO
17.0,Low,NO
31.0,Medium,NO
21.0,Low,NO
16.0,Low,NO
13.0,Low,NO
45.0,Medium,NO
34.0,Medium,NO
62.0,High,YES
42.0,Medium,NO
16.0,Low,NO
31.0,Medium,NO
30.0,Medium,NO
36.0,Medium,NO
59.0,Medium,NO
61.0,High,YES
25.0,Low,NO
7.000000000000001,Low,NO
17.0,Low,NO
33.0,Medium,NO
21.0,Low,NO
38.0,Medium,NO
37.0,Medium,NO
17.0,Low,NO
26.0,Low,NO
30.0,Medium,NO
39.0,Medium,NO
27.0,Low,NO
55.00000000000001,Medium,NO
24.0,Low,NO
59.0,Medium,NO
0.0,Low,NO
40.0,Medium,NO
59.0,Medium,NO
49.0,Medium,NO
49.0,Medium,NO
25.0,Low,NO
28.000000000000004,Low,NO
76.0,High,YES
52.0,Medium,NO
14.000000000000002,Low,NO
42.0,Medium,NO
7.000000000000001,Low,NO
42.0,Medium,NO
38.0,Medium,NO
36.0,Medium,NO
50.0,Medium,NO
51.0,Medium,NO
43.0,Medium,NO
19.0,Low,NO
12.0,Low,NO
25.0,Low,NO
12.0,Low,NO
12.0,Low,NO
43.0,Medium,NO
34.0,Medium,NO
33.0,Medium,NO
45.0,Medium,NO
55.00000000000001,Medium,NO
42.0,Medium,NO
12.0,Low,NO
18.0,Low,NO
73.0,High,YES
48.0,Medium,NO
77.0,High,YES
25.0,Low,NO
50.0,Medium,NO
47.0,Medium,NO
19.0,Low,NO
33.0,Medium,NO
8.0,Low,NO
45.0,Medium,NO
32.0,Medium,NO
64.0,High,YES
56.00000000000001,Medium,NO
60.0,High,NO
13.0,Low,NO
28.000000000000004,Low,NO
36.0,Medium,NO
25.0,Low,NO
28.999999999999996,Low,NO
47.0,Medium,NO
45.0,Medium,NO
21.0,Low,NO
37.0,Medium,NO
23.0,Low,NO
54.0,Medium,NO
16.0,Low,NO
44.0,Medium,NO
17.0,Low,NO
8.0,Low,NO
27.0,Low,NO
20.0,Low,NO
15.0,Low,NO
45.0,Medium,NO
2.0,Low,NO
10.0,Low,NO
16.0,Low,NO
8.0,Low,NO
19.0,Low,NO
36.0,Medium,NO
37.0,Medium,NO
13.0,Low,NO
38.0,Medium,NO
51.0,Medium,NO
13.0,Low,NO
48.0,Medium,NO
33.0,Medium,NO
22.0,Low,NO
8.0,Low,NO
45.0,Medium,NO
35.0,Medium,NO
25.0,Low,NO
33.0,Medium,NO
51.0,Medium,NO
28.000000000000004,Low,NO
25.0,Low,NO
21.0,Low,NO
3.0,Low,NO
43.0,Medium,NO
30.0,Medium,NO
50.0,Medium,NO
18.0,Low,NO
62.0,High,YES
8.0,Low,NO
24.0,Low,NO
21.0,Low,NO
68.0,High,YES
32.0,Medium,NO
38.0,Medium,NO
43.0,Medium,NO
42.0,Medium,NO
22.0,Low,NO
24.0,Low,NO
19.0,Low,NO
27.0,Low,NO
16.0,Low,NO
22.0,Low,NO
52.0,Medium,NO
31.0,Medium,NO
41.0,Medium,NO
41.0,Medium,NO
16.0,Low,NO
53.0,Medium,NO
13.0,Low,NO
19.0,Low,NO
62.0,High,YES
22.0,Low,NO
15.0,Low,NO
23.0,Low,NO
9.0,Low,NO
4.0,Low,NO
46.0,Medium,NO
13.0,Low,NO
16.0,Low,NO
16.0,Low,NO
34.0,Medium,NO
8.0,Low,NO
52.0,Medium,NO
35.0,Medium,NO
39.0,Medium,NO
33.0,Medium,NO
30.0,Medium,NO
11.0,Low,NO
